BabyBirthday,sensitivity,BabyName,BabyId,groupnumber
2024-12-25,"non, feugiat",Adam,886,340
2024-07-23,"Curabitur consequat, lectus",Dane,887,166
2023-11-12,Etiam,Rae,888,77
2023-12-11,in molestie,Salvador,889,197
2024-07-28,commodo auctor velit.,Sigourney,890,281
2024-10-03,eget,Shoshana,891,108
2024-07-10,aliquam,Vernon,892,397
2023-10-04,turpis egestas. Aliquam,Gregory,893,144
2024-09-29,"elit, a",Robert,894,253
2024-05-01,facilisi.,Austin,895,171
2024-02-14,taciti sociosqu ad,Tanner,896,110
2023-11-09,aptent taciti,Caesar,897,78
2024-04-25,turpis egestas.,Hanna,898,108
2025-01-17,mauris,Erin,899,116
2024-02-14,et,Chester,900,47
2024-05-29,taciti,Chantale,901,9
2023-11-05,"hendrerit a,",Rahim,902,148
2023-12-13,nisl. Maecenas,Chanda,903,114
2024-01-03,nec tempus,Theodore,904,312
2023-10-06,Cras vulputate,Raya,905,317
2023-12-14,pharetra. Nam,Jesse,906,214
2024-10-24,ac,Brenden,907,294
2024-04-30,dolor,Keith,908,87
2023-11-21,"sit amet,",Lois,909,151
2024-02-08,"congue a,",Beck,910,97
2024-05-26,consectetuer rhoncus.,Althea,911,229
2023-11-25,non arcu.,Declan,912,255
2024-06-16,Aliquam ultrices iaculis,Ishmael,913,41
2024-01-18,vel est tempor,Sharon,914,138
2024-09-04,lacinia. Sed,Kennan,915,326
2024-08-07,ultrices posuere cubilia,Jarrod,916,115
2024-05-08,"in,",Risa,917,255
2023-11-09,Aliquam nec,Samson,918,15
2024-02-29,orci. Donec nibh.,Knox,919,128
2024-06-30,sem eget,Francesca,920,312
2024-11-17,magna,Clio,921,281
2024-10-24,magna.,Igor,922,191
2024-11-26,Nam porttitor,Veda,923,79
2024-06-25,"lacus. Quisque imperdiet,",Kylee,924,377
2023-12-29,vitae,Lydia,925,373
2025-02-19,leo. Morbi,Kalia,926,126
2023-11-30,"aliquet,",Judith,927,392
2024-06-16,tristique senectus,Doris,928,343
2025-02-20,egestas. Fusce aliquet,Velma,929,200
2024-01-23,fermentum fermentum arcu.,Darrel,930,100
2024-12-08,non quam.,Yuri,931,17
2024-04-02,"mattis semper, dui",Astra,932,167
2024-02-02,Cras,Noble,933,284
2024-06-17,egestas,Quin,934,299
2024-12-03,molestie sodales.,Chester,935,272
2024-06-03,Aliquam ultrices iaculis,Cara,936,265
2023-12-08,"vitae,",Whitney,937,3
2024-06-21,fames ac turpis,Nathan,938,25
2024-03-15,dui augue,Kaitlin,939,217
2024-09-13,"hendrerit a,",Kylee,940,100
2024-07-14,est arcu,Lee,941,181
2024-05-12,"lorem, auctor quis,",Lacey,942,263
2024-08-09,pharetra. Nam ac,Mollie,943,323
2024-07-11,tincidunt dui augue,Xyla,944,157
2024-09-22,non sapien,Noble,945,116
2024-01-11,dui lectus,Morgan,946,223
2024-02-07,justo,Hu,947,137
2023-12-02,nunc id,Keegan,948,394
2023-12-27,nulla,Gary,949,62
2023-12-30,habitant morbi,Gloria,950,33
2023-12-31,lectus justo,Travis,951,251
2024-01-11,turpis.,May,952,114
2025-01-23,Phasellus nulla.,Kaye,953,182
2023-11-01,"fermentum vel, mauris.",Zachary,954,140
2024-07-13,"pede, nonummy",Rhonda,955,149
2024-10-02,dolor,Len,956,201
2024-08-03,magna a,Alisa,957,255
2024-12-21,enim nisl elementum,Blossom,958,178
2024-07-11,"elit, pretium",Asher,959,340
2025-01-04,In lorem. Donec,Joy,960,398
2023-11-24,lacus. Quisque,Sarah,961,230
2024-10-25,"ac, feugiat non,",Ann,962,208
2023-12-27,justo. Praesent luctus.,Leila,963,101
2023-10-19,ac mattis,Christine,964,74
2024-08-27,lobortis mauris.,Alexander,965,15
2024-12-27,mauris sit,Shafira,966,278
2025-01-01,gravida molestie arcu.,Kevyn,967,184
2024-09-26,"velit dui,",Rhona,968,310
2024-10-14,"sem semper erat,",Caldwell,969,225
2025-01-06,mi. Duis,Thomas,970,134
2024-12-27,"iaculis nec,",Lane,971,205
2024-12-07,tortor. Integer,Melyssa,972,346
2023-12-30,Praesent interdum,Kasimir,973,188
2024-10-27,magnis dis,Avram,974,241
2024-01-13,Vivamus,Idola,975,391
2025-01-10,senectus et netus,Raymond,976,332
2024-12-03,"lobortis quis,",Galena,977,350
2024-03-03,in,Wade,978,240
2024-05-18,vel sapien,Paloma,979,109
2024-06-01,euismod urna.,Charity,980,220
2024-09-09,sed,Suki,981,240
2024-08-11,consectetuer,Penelope,982,85
2025-01-20,"sit amet,",Raphael,983,313
2024-03-20,"tempor,",Shelley,984,163
2024-08-29,lacus. Aliquam rutrum,Cara,985,229
2024-04-15,"aliquet,",Boris,986,126
2024-12-14,nunc. Quisque ornare,Jocelyn,987,220
2024-01-23,"cursus, diam",Faith,988,203
2024-12-29,sit amet,Cally,989,255
2023-11-12,tellus non,Barry,990,330
2024-09-22,"suscipit, est",Walker,991,156
2024-11-27,"ornare, lectus",Winter,992,213
2024-05-14,dapibus gravida.,Jeremy,993,12
2024-03-16,Mauris,Ferdinand,994,165
2024-02-13,molestie sodales.,Quintessa,995,261
2024-07-29,"ullamcorper eu,",Cairo,996,157
2024-07-15,nunc sed libero.,Gemma,997,281
2024-10-22,rutrum magna.,Michelle,998,348
2024-08-25,ultrices,Yolanda,999,217
2024-07-22,Maecenas mi,Griffin,1000,368
2024-05-12,sapien,Xavier,1001,318
2023-12-04,"quis accumsan convallis,",September,1002,253
2024-10-28,justo sit,Camilla,1003,94
2025-01-31,ac risus. Morbi,Justin,1004,231
2024-09-10,sollicitudin,Leila,1005,37
2024-08-26,facilisis lorem tristique,Cailin,1006,130
2024-01-15,"dapibus id,",Leonard,1007,136
2024-03-19,risus.,Helen,1008,80
2024-06-26,nisi a,Victoria,1009,337
2024-03-13,magna a,Tucker,1010,90
2024-02-18,in sodales,Kirby,1011,325
2024-03-10,libero dui,Palmer,1012,144
2024-09-25,tortor nibh,Priscilla,1013,378
2024-02-23,dapibus quam,Suki,1014,319
2023-11-28,"iaculis, lacus pede",Cairo,1015,120
2023-10-08,Duis risus,Declan,1016,208
2024-02-02,consectetuer adipiscing,Dylan,1017,338
2024-08-10,nibh. Phasellus,Farrah,1018,239
2024-05-17,"dolor, nonummy ac,",Inga,1019,385
2025-01-17,ac,Keely,1020,303
2024-12-14,ut quam,Amity,1021,234
2024-01-13,facilisi.,Ralph,1022,322
2023-11-21,"eu, odio.",Medge,1023,361
2024-12-02,Praesent interdum ligula,Cecilia,1024,3
2025-02-11,Quisque ac,Reece,1025,306
2025-02-02,facilisis,Amal,1026,293
2024-05-05,ipsum,Naida,1027,266
2024-04-01,"ullamcorper, velit in",Lisandra,1028,5
2024-10-19,libero at auctor,Brett,1029,312
2024-09-09,Pellentesque ultricies,Rudyard,1030,80
2025-01-05,Duis sit,April,1031,137
2023-11-15,mauris,Rooney,1032,309
2023-12-19,ut,Lucian,1033,50
2024-05-09,"a, scelerisque",Len,1034,187
2023-11-26,"id, ante. Nunc",Brooke,1035,187
2024-01-27,sem. Pellentesque,Ralph,1036,288
2024-04-01,"facilisis eget,",TaShya,1037,68
2025-02-04,"lectus, a",Kimberley,1038,134
2024-01-12,convallis,Armando,1039,36
2024-03-11,"lectus. Nullam suscipit,",Carl,1040,183
2024-11-16,"at, libero.",Nichole,1041,350
2024-08-29,pede.,Bevis,1042,179
2024-06-22,nunc sed,Ulric,1043,97
2024-03-09,libero,Ainsley,1044,212
2024-06-08,orci,Amos,1045,129
2024-11-15,urna.,Scott,1046,18
2023-10-07,aliquam arcu.,Erasmus,1047,17
2024-10-20,"urna, nec luctus",Alexa,1048,279
2024-10-22,"eu, ultrices",Brody,1049,188
2023-12-14,"tincidunt, nunc",Daria,1050,281
2023-10-18,id risus,Cruz,1051,373
2023-12-10,vestibulum massa,Piper,1052,266
2023-10-07,sit amet,Mason,1053,191
2024-04-15,sagittis semper.,Iliana,1054,245
2024-08-04,dignissim tempor,Mari,1055,200
2024-10-23,sed,Owen,1056,156
2024-02-29,"eleifend vitae,",Kamal,1057,273
2024-03-24,"eu, ultrices",Orla,1058,135
2024-10-10,sagittis,Raven,1059,85
2024-05-07,dui nec,Cecilia,1060,342
2024-07-23,Suspendisse dui.,Craig,1061,386
2024-06-25,eget odio.,Alan,1062,65
2024-12-05,"dictum eleifend,",Mona,1063,382
2025-02-12,ornare lectus justo,Jordan,1064,26
2024-01-30,orci quis,Brittany,1065,76
2024-01-12,"ornare, libero",Stuart,1066,63
2024-09-22,nisi sem,Hope,1067,51
2024-02-04,Sed,Lyle,1068,266
2024-11-13,gravida.,Alma,1069,187
2024-05-28,"lobortis quis,",Justin,1070,34
2024-05-13,quam dignissim,Dane,1071,382
2024-06-15,Duis at,Marshall,1072,152
2024-10-06,Vivamus,Claire,1073,143
2024-11-08,nec urna et,Kuame,1074,203
2024-11-10,"nostra, per",Ciaran,1075,370
2024-03-12,neque. Nullam,Pearl,1076,72
2024-11-27,in,Barbara,1077,380
2024-01-10,ligula. Nullam feugiat,Brooke,1078,324
2024-08-08,at risus.,Declan,1079,232
2024-03-09,mi,Beatrice,1080,307
2025-01-21,in,Lewis,1081,134
2023-12-21,Donec est.,Plato,1082,355
2023-11-25,in faucibus,Shelley,1083,307
2024-02-21,Mauris magna. Duis,Deanna,1084,32
2024-01-13,"eleifend nec,",Hu,1085,2
2024-10-20,ipsum primis in,Harlan,1086,399
2024-07-18,eleifend. Cras sed,Colleen,1087,59
2024-06-27,"nulla magna, malesuada",Sophia,1088,82
2024-02-14,commodo auctor,Ruby,1089,366
2024-05-26,"orci, in consequat",Brian,1090,261
2024-10-27,"in, tempus",Chaney,1091,19
2024-08-04,est. Nunc laoreet,Moana,1092,249
2023-12-03,Nunc laoreet,Harding,1093,372
2024-02-23,Aenean egestas,Michael,1094,361
2024-03-19,Aenean egestas,Armando,1095,153
2024-08-02,Curabitur,Keely,1096,38
2024-09-21,"condimentum eget,",Nell,1097,324
2024-07-21,"non,",Lyle,1098,149
2024-12-10,"Etiam ligula tortor,",Rose,1099,216
2023-12-31,vitae,Fallon,1100,186
2025-01-25,"ut, sem. Nulla",Jeremy,1101,250
2024-02-25,erat.,Joy,1102,136
2023-11-10,lacus. Quisque,Melissa,1103,315
2024-09-28,nisl arcu,Alexis,1104,50
2024-04-22,Praesent eu dui.,Gage,1105,287
2024-06-21,"accumsan convallis, ante",Raja,1106,355
2023-10-13,faucibus,Declan,1107,309
2024-08-08,"nulla magna,",Mannix,1108,29
2024-02-27,nisl. Quisque,Herman,1109,304
2024-03-24,dapibus quam,Quentin,1110,275
2024-09-02,Phasellus,Laura,1111,3
2024-05-26,"imperdiet,",Steel,1112,267
2023-12-16,Quisque,Jasper,1113,157
2024-04-30,nisl. Maecenas malesuada,Marshall,1114,294
2024-07-06,non lorem vitae,Kevin,1115,327
2024-08-21,metus,Denton,1116,143
2023-11-07,nunc,Hedley,1117,288
2023-11-02,"sem mollis dui,",Minerva,1118,130
2024-01-09,Cras convallis,Samuel,1119,170
2024-03-30,ligula,Genevieve,1120,42
2024-05-07,Vivamus nibh,Ariel,1121,308
2024-02-21,Suspendisse,Ebony,1122,399
2024-05-16,magna. Praesent interdum,Leonard,1123,300
2023-12-24,Donec dignissim,Basia,1124,160
2024-06-29,quam quis diam.,Xavier,1125,76
2024-04-19,purus. Nullam scelerisque,Brent,1126,348
2024-08-13,natoque penatibus,Sacha,1127,387
2024-01-01,mi lacinia,Malik,1128,4
2024-06-03,nisi.,Veronica,1129,325
2023-12-14,"ullamcorper, nisl",Wade,1130,189
2023-10-02,commodo hendrerit.,Brock,1131,392
2024-02-09,purus gravida sagittis.,Declan,1132,24
2024-09-03,sed libero.,Jillian,1133,148
2024-09-09,urna. Vivamus molestie,Francis,1134,88
2024-12-14,lectus. Cum sociis,Nina,1135,98
2024-11-12,"Sed pharetra,",Rebecca,1136,87
2024-04-25,tincidunt adipiscing. Mauris,Carly,1137,349
2024-08-22,"adipiscing, enim",Basil,1138,106
2024-02-27,"Sed pharetra, felis",Hedy,1139,45
2024-06-02,In nec orci.,Imogene,1140,235
2024-06-30,"pede,",Farrah,1141,242
2025-02-13,"at pretium aliquet,",Quon,1142,279
2024-02-16,sociis natoque,Kameko,1143,368
2024-07-16,Nulla tempor augue,Zia,1144,105
2024-05-09,gravida. Aliquam,Gary,1145,198
2024-06-01,"ut,",Desirae,1146,243
2024-03-03,nisl. Nulla,Penelope,1147,25
2024-12-23,Curae Phasellus ornare.,Kato,1148,258
2023-10-04,lectus rutrum,Theodore,1149,76
2024-04-15,et magnis,Jared,1150,387
2024-06-13,sociis natoque penatibus,Kyra,1151,248
2024-10-31,nec tempus mauris,Jada,1152,106
2024-05-10,pellentesque.,Finn,1153,52
2024-01-04,ridiculus mus.,Daphne,1154,252
2024-01-19,dapibus,Eugenia,1155,252
2023-12-01,"varius et,",Kelly,1156,68
2023-12-23,Suspendisse tristique,Edan,1157,140
2023-10-26,"et, magna. Praesent",Fuller,1158,121
2023-11-05,fringilla est. Mauris,Raven,1159,204
2023-12-26,Aliquam,Kathleen,1160,154
2024-03-25,arcu iaculis,Denise,1161,196
2024-04-06,Maecenas ornare,Leigh,1162,298
2024-01-23,tellus faucibus,Maite,1163,185
2024-11-13,porttitor eros,Jonas,1164,307
2024-10-05,"diam lorem,",Kane,1165,255
2024-12-26,cursus,Demetrius,1166,187
2025-01-25,"Nulla tincidunt,",Lacy,1167,70
2024-06-22,"id,",Bo,1168,233
2024-09-10,Lorem ipsum dolor,Roanna,1169,84
2024-01-24,dictum. Phasellus in,Edward,1170,266
2024-10-28,Nunc ac sem,Neil,1171,93
2025-02-21,aliquet diam.,Kaitlin,1172,153
2023-11-27,"Integer vulputate,",Dale,1173,374
2023-11-14,nascetur ridiculus,Jonah,1174,111
2024-05-31,molestie sodales. Mauris,Jason,1175,206
2025-01-07,interdum enim,Elmo,1176,32
2024-10-04,"ornare,",Macon,1177,47
2023-12-11,"posuere, enim",Acton,1178,365
2024-01-29,justo. Proin,Oliver,1179,233
2024-12-12,ante. Vivamus,Quinn,1180,242
2024-01-10,"mi lorem, vehicula",Wing,1181,152
2024-10-13,"sed,",Maite,1182,130
2024-01-25,feugiat,Rooney,1183,369
2024-08-30,faucibus,Risa,1184,369
2024-04-21,ante ipsum,Cecilia,1185,308
2024-05-23,"nec, eleifend non,",Alice,1186,221
2024-11-02,"ullamcorper, nisl arcu",Yardley,1187,10
2025-02-20,ornare tortor at,Aristotle,1188,19
2024-04-11,aliquet magna,Dahlia,1189,69
2023-12-18,amet,Deacon,1190,72
2024-01-19,nascetur ridiculus,Lydia,1191,281
2024-04-11,consectetuer rhoncus. Nullam,Rose,1192,246
2024-01-16,eu sem. Pellentesque,Demetrius,1193,340
2023-12-07,Mauris molestie pharetra,Dillon,1194,327
2024-09-28,"consequat auctor,",Prescott,1195,93
2024-11-14,Mauris ut,Dillon,1196,335
2024-03-16,"convallis erat, eget",India,1197,288
2024-12-21,"sed, hendrerit",Florence,1198,336
2024-04-23,libero. Integer,Dane,1199,347
2025-02-04,dui. Suspendisse ac,Clarke,1200,109
